part,decoder,k,length,n,ell,qubits,iqm_cz,iqm_depth,routed_cz,routed_depth,simulated,mean_satisfied,p_optimum,random_baseline,brute_force_opt,dual_dim,dual_dmin,note,error
A,BP,,7,3,1,21,385,703,766,1343,True,4.291748046875,0.32171630859375,3.5,6,,,,
A,algebraic-t1,,7,3,1,11,86,165,158,263,True,5.040771484375,0.524169921875,3.5,6,,,,
A,GJE,,7,3,1,10,30,47,53,65,True,3.4970703125,0.12701416015625,3.5,6,,,,
A,BP,,7,3,2,21,431,812,857,1548,True,4.087646484375,0.2744140625,3.5,6,,,,
A,algebraic-t1,,7,3,2,11,132,266,250,461,True,4.5657958984375,0.46728515625,3.5,6,,,,
A,GJE,,7,3,2,10,76,148,137,268,True,3.487548828125,0.123291015625,3.5,6,,,,
A,BP,,7,3,3,21,470,887,924,1654,True,3.9989013671875,0.2464599609375,3.5,6,,,,
A,algebraic-t1,,7,3,3,11,171,343,324,580,True,4.31884765625,0.4005126953125,3.5,6,,,,
A,GJE,,7,3,3,10,115,225,207,415,True,3.505615234375,0.12615966796875,3.5,6,,,,
A,BP,,15,4,1,40,1889,3500,3893,6905,False,None,None,7.5,12,,,not simulated (qubits>28),
A,algebraic-t1,,15,4,1,21,264,504,501,733,True,9.9456787109375,0.35015869140625,7.5,12,,,,
A,GJE,,15,4,1,19,81,95,183,206,True,7.48193359375,0.0609130859375,7.5,12,,,,
A,BP,,15,4,2,40,2007,3789,4115,7374,False,None,None,7.5,12,,,not simulated (qubits>28),
A,algebraic-t1,,15,4,2,21,382,769,740,1263,True,9.236083984375,0.30499267578125,7.5,12,,,,
A,GJE,,15,4,2,19,199,360,442,715,True,7.5252685546875,0.0655517578125,7.5,12,,,,
A,BP,,15,4,3,40,2118,3991,4370,7681,False,None,None,7.5,12,,,not simulated (qubits>28),
A,algebraic-t1,,15,4,3,21,493,979,928,1573,True,8.4805908203125,0.2113037109375,7.5,12,,,,
A,GJE,,15,4,3,19,310,570,651,1082,True,7.515380859375,0.06695556640625,7.5,12,,,,
A,BP,,31,5,1,73,7729,14568,15539,28295,False,None,None,15.5,20,,,not simulated (qubits>28),
A,algebraic-t1,,31,5,1,39,703,1334,1427,1861,False,None,None,15.5,20,,,not simulated (qubits>28),
A,GJE,,31,5,1,36,200,190,554,438,False,None,None,15.5,20,,,not simulated (qubits>28),
A,BP,,31,5,2,73,7991,15224,16116,29202,False,None,None,15.5,20,,,not simulated (qubits>28),
A,algebraic-t1,,31,5,2,39,965,1929,2027,3038,False,None,None,15.5,20,,,not simulated (qubits>28),
A,GJE,,31,5,2,36,462,785,1176,1553,False,None,None,15.5,20,,,not simulated (qubits>28),
A,BP,,31,5,3,73,8246,15677,16728,30207,False,None,None,15.5,20,,,not simulated (qubits>28),
A,algebraic-t1,,31,5,3,39,1220,2401,2500,3948,False,None,None,15.5,20,,,not simulated (qubits>28),
A,GJE,,31,5,3,36,717,1257,1672,2375,False,None,None,15.5,20,,,not simulated (qubits>28),
B,BP,6,6,6,1,24,1748,3264,,,True,3.7681884765625,0.238037109375,3.0,5,1,3,,
B,GJE,6,6,6,1,12,36,56,,,True,3.0059814453125,0.09161376953125,3.0,5,1,3,,
B,BP,6,6,6,2,24,1785,3352,,,True,3.68475341796875,0.25970458984375,3.0,5,1,3,,
B,GJE,6,6,6,2,12,73,135,,,True,3.0020751953125,0.0941162109375,3.0,5,1,3,,
B,BP,6,6,6,3,24,1815,3411,,,True,3.44195556640625,0.2041015625,3.0,5,1,3,,
B,GJE,6,6,6,3,12,103,195,,,True,3.0201416015625,0.09466552734375,3.0,5,1,3,,
B,BP,7,6,7,1,25,1965,3709,,,True,3.77239990234375,0.23687744140625,3.0,5,1,3,,
B,GJE,7,6,7,1,13,37,57,,,True,3.014404296875,0.09564208984375,3.0,5,1,3,,
B,BP,7,6,7,2,25,2002,3796,,,True,3.67474365234375,0.25091552734375,3.0,5,1,3,,
B,GJE,7,6,7,2,13,74,136,,,True,3.01226806640625,0.0948486328125,3.0,5,1,3,,
B,BP,7,6,7,3,25,2032,3855,,,True,3.44647216796875,0.20867919921875,3.0,5,1,3,,
B,GJE,7,6,7,3,13,104,196,,,True,3.00341796875,0.09149169921875,3.0,5,1,3,,
